cell_name,Symbol
Erythroid,"GYPA,GATA1,TFRC,HBG1,HBB,HBA1,HBA2,HBD,CA1,SMIM1"
Endothelial cells,"RAMP2,TM4SF1,RNASE1,EGFL7,RAMP3,PLVAP,AQP1,ECSCR,FKBP1A,EMP1,DARC,VWF,EMCN"
Pericytes,"RGS5,ACTA2,MYH11,MT1M,FRZB,MT1A"
Fibroblasts,"DCN,LUM,PTN,IGF1,APOD,COL1A2,FBLN1,MEG3,CXCL12"
PDC,"IRF7,IRF4,LILRA4,PPP1R14B,SOX4,TSPAN13,KIAA0226,PTCRA,RAB11FIP1,CXCR3,IL3RA"
B cells,"MS4A1,CD79B,BTG1,VPREB3,BANK1,CD79A,IGLL5,MS4A1,CD79B,BTG1,VPREB3,BANK1,CD79A,IGLL5,MS4A1"
memBcell,"SEC11C,XBP1,PRDX4,SPCS2,SSR3,SDF2L1,C19orf10,MANF,TMEM258,DNAJB9"
Macrophage,"C1QA,C1QC,C1QB,GPR34,CSF1R,MS4A4A"
Monocytes,"S100A9,FCN1,S100A8,CSTA,EREG,NEAT1,TKT,THBS1,VCAN,TSPO,CSTA,LYZ"
mDC,"CD1C,PKIB,INSIG1,CLEC10A,C15orf48,PPA1"
NK,"NKG7,GNLY,KLRD1,KLRB1,FGFBP2,PRF1,NKG7,GNLY,KLRD1,KLRB1,FGFBP2,PRF1,NKG7"
CTL,"CD8A,CD8B,GZMH,GZMA,PRPRC"
Naïve Th,"CCR7,SELL,CD4,CD3D,CD3E"
Thelper,"CD4,IL2,TNF,IL17A,IL17F,RORC,CD4,CCL20,CCR6,RORA"
Treg,"TIGIT,CTLA4,SOD1,TNFRSF4,TNFRSF18,RTKN2,FOXP3,TIGIT,CTLA4"
Tumor,"CA9,KRT8,KRT18,PDK4,VEGFA,NNMT"
Progenitors,"SPINK2,IGLL1,SSBP2,CD34,STMN1,SOX4,PRSS57"
NK,"KLRC1,CD44,COTL1,XCL1,XCL2,TBX21,EOMES,FGFBP2,PRF1,FCGR3A,TBX21"
NKT,"CD44,CD8A,CD3D,NKG7"
Collecting duct,"AQP2,AQP3,GATA2"
Connecting tubule,"TMPRSS4,NOS1,SUCNR1"
Distal convoluted tubule,"SLC12A3,WNK1,TMEM52B"
Glomerular podocytes,"RERG,SPARC,SEMA3G,CLDN5,CR1"
Loop of Henle,"UMOD,SLC12A1,WNK4"
Proximal tubule-1,"SLC22A8,SLC22A6,GSTA1,FABP1,PRODH2"
Proximal tubule-2,"IL32,UGT2A3,SOX9"
Proximal tubule-3,"CAV1,RERG,SPARC,BGN,CTFG,CGH"
Proximal tubule-4,"KRT7,MMP7,ITGB6,EHF,SRCAP"
